pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 23472 e,HD 23472,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,7.90754,0.00011,-0.00011,0.0,0.068,0.001,-0.001,0.0,0.818,0.08,-0.065,0.0,0.073,0.007,-0.006,0.0,0.72,0.28,-0.27,0.0,0.00227,0.00088,-0.00085,0.0,Mass,0.07,0.052,-0.047,0.0,46.7,5.1,-4.6,0.0,723.0,28.0,-25.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 23472 f,HD 23472,1,5,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,12.1621839,0.00012,-9.9e-05,0.0,0.0906,0.0014,-0.0014,0.0,1.137,0.084,-0.077,0.0,0.101,0.007,-0.007,0.0,0.77,0.44,-0.4,0.0,0.00242,0.00138,-0.00126,0.0,Mass,0.07,0.048,-0.051,0.0,26.3,2.9,-2.6,0.0,630.0,27.0,-23.0,0.0,0,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227
HD 260655 b,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.76953,3e-05,-3e-05,0.0,0.02933,0.00024,-0.00024,0.0,1.24,0.023,-0.023,0.0,0.111,0.002,-0.002,0.0,2.14,0.34,-0.34,0.0,0.00673,0.00107,-0.00107,0.0,Mass,0.039,0.043,-0.023,0.0,42.2,0.7,-0.7,0.0,709.0,4.0,-4.0,0.0,0,M0 V,3803.0,10.0,-10.0,0.0,0.44,0.0,0.0,0.0,0.44,0.01,-0.01,0.0,-0.43,0.04,-0.04,0.0,[Fe/H],5.2,0.07,-0.07,0.0,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,0.00505,-0.00505,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554
HD 260655 c,HD 260655,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,5.70588,7e-05,-7e-05,0.0,0.04749,0.00039,-0.00039,0.0,1.533,0.051,-0.046,0.0,0.137,0.005,-0.004,0.0,3.09,0.48,-0.48,0.0,0.00972,0.00151,-0.00151,0.0,Mass,0.038,0.036,-0.022,0.0,16.1,0.3,-0.3,0.0,557.0,3.0,-3.0,0.0,0,M0 V,3803.0,10.0,-10.0,0.0,0.44,0.0,0.0,0.0,0.44,0.01,-0.01,0.0,-0.43,0.04,-0.04,0.0,[Fe/H],5.2,0.07,-0.07,0.0,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055,0.00505,-0.00505,9.63,0.1,-0.1,5.862,0.024,-0.024,8.876041,0.000554,-0.000554
HD 5278 b,HD 5278,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,14.339156,4.9e-05,-4.7e-05,0.0,0.1202,0.0013,-0.0013,0.0,2.45,0.05,-0.05,0.0,0.219,0.004,-0.004,0.0,7.8,1.5,-1.4,0.0,0.02454,0.00472,-0.0044,0.0,Mass,0.08,0.09,-0.05,0.0,132.0,5.0,-5.0,0.0,943.0,13.0,-13.0,0.0,0,F V,6203.0,64.0,-64.0,0.0,1.19,0.02,-0.02,0.0,1.13,0.04,-0.04,0.0,-0.12,0.04,-0.04,0.0,[Fe/H],4.5,0.11,-0.11,0.0,00h50m11.23s,12.5467785,-83d44m37.56s,-83.7437671,57.5846,0.0947,-0.0943,7.94,0.03,-0.03,6.605,0.027,-0.027,7.80375,0.00027,-0.00027
HD 73583 b,HD 73583,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,6.398042,6.7e-06,-6.2e-06,0.0,0.0604,0.0027,-0.0026,0.0,2.79,0.1,-0.1,0.0,0.249,0.009,-0.009,0.0,10.2,3.4,-3.1,0.0,0.03209,0.0107,-0.00975,0.0,Mass,0.09,0.09,-0.06,0.0,43.3,5.3,-4.7,0.0,714.0,21.0,-20.0,0.0,0,K4 V,4511.0,110.0,-110.0,0.0,0.65,0.02,-0.02,0.0,0.73,0.02,-0.02,0.0,0.0,0.09,-0.09,0.0,[Fe/H],4.62,0.12,-0.12,0.0,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666,0.0321,-0.032,9.67,0.03,-0.03,6.948,0.024,-0.024,9.27033,0.00048,-0.00048
HD 73583 c,HD 73583,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,18.87974,0.00086,-0.00074,0.0,0.1242,0.0055,-0.0054,0.0,2.39,0.1,-0.09,0.0,0.213,0.009,-0.008,0.0,9.7,1.8,-1.7,0.0,0.03052,0.00566,-0.00535,0.0,Mass,0.08,0.11,-0.06,0.0,10.2,1.2,-1.1,0.0,498.0,15.0,-15.0,0.0,0,K4 V,4511.0,110.0,-110.0,0.0,0.65,0.02,-0.02,0.0,0.73,0.02,-0.02,0.0,0.0,0.09,-0.09,0.0,[Fe/H],4.62,0.12,-0.12,0.0,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666,0.0321,-0.032,9.67,0.03,-0.03,6.948,0.024,-0.024,9.27033,0.00048,-0.00048
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,Las Campanas Observatory,0,55.087,0.02,-0.02,0.0,0.262,0.002,-0.002,0.0,3.89,0.19,-0.2,0.0,0.347,0.017,-0.018,0.0,42.44,2.22,-2.08,0.0,0.13353,0.00698,-0.00654,0.0,Mass,0.197,0.029,-0.024,0.0,7.42,0.22,-0.22,0.0,385.0,17.0,-17.0,0.0,0,K0.5 V,5212.0,16.0,-11.0,0.0,0.87,0.04,-0.04,0.0,0.83,0.02,-0.02,0.0,0.04,0.1,-0.1,0.0,[Fe/H],4.54,0.21,-0.21,0.0,10h59m25.52s,164.8563364,-56d37m24.80s,-56.6235564,36.9941,0.0689,-0.0687,8.62,0.03,-0.03,6.591,0.018,-0.018,8.38213,0.000279,-0.000279
K2-10 b,K2-10,1,1,Transit,2015,K2,0,19.3044,0.0012,-0.0012,0.0,0.137,0.0015,-0.0015,0.0,3.84,0.35,-0.34,0.0,0.343,0.031,-0.03,0.0,27.0,17.0,-16.0,0.0,0.08495,0.05349,-0.05034,0.0,Mass,0.31,0.16,-0.18,0.0,54.1,9.5,-9.5,0.0,703.0,55.0,-55.0,0.0,0,F9,5620.0,70.0,-70.0,0.0,0.98,0.08,-0.08,0.0,0.92,0.05,-0.05,0.0,-0.07,0.07,-0.07,0.0,[Fe/H],4.5,0.08,-0.08,0.0,11h28m29.20s,172.1216476,+01d41m26.24s,1.6906217,272.36,3.112,-3.044,12.429,0.069,-0.069,10.645,0.021,-0.021,12.2156,0.00024,-0.00024
K2-138 b,K2-138,1,6,Transit,2017,K2,0,2.35309,0.00022,-0.00022,0.0,0.03385,0.00023,-0.00029,0.0,1.51,0.11,-0.084,0.0,0.135,0.01,-0.007,0.0,3.1,1.05,-1.05,0.0,0.00975,0.0033,-0.0033,0.0,Mass,0.048,0.054,-0.033,0.0,486.0,37.0,-35.0,0.0,1157.0,78.0,-74.0,0.0,0,G8 V,5356.3,41.8,-13.1,0.0,0.86,0.03,-0.02,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[M/H],4.54,0.02,-0.04,0.0,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,12.246,0.092,-0.092,10.305,0.021,-0.021,12.0252,0.000364,-0.000364
